,userID,u_EF,u_avg_orders,u_avg_period,u_first_bought,u_last_bought,u_std_avg_period,u_mean_bought,u_std_bought
2499,116,5,4.0,57.25,1,230,35.06,126.2,74.74
2515,117,6,5.11,24.62,31,228,13.27,125.78,66.96
2549,118,7,3.3,23.89,19,234,17.87,123.9,58.85
2578,119,6,8.1,23.0,38,245,15.06,168.5,62.14
2620,120,5,2.4,40.0,27,187,33.67,105.2,67.54
2631,121,3,1.8,48.25,7,200,50.83,98.4,84.42
2639,122,5,3.12,18.29,72,200,13.48,132.12,47.01
2654,123,5,3.8,44.25,28,205,10.64,120.2,61.61
2664,124,7,1.7,22.0,27,225,16.47,104.9,67.35
2681,125,3,2.33,62.0,17,141,44.0,64.33,54.71
2688,126,5,4.56,28.25,12,238,23.47,129.56,77.31
2715,127,4,2.38,30.57,7,221,23.31,114.62,75.94
2733,128,5,1.5,40.6,28,231,12.69,122.0,67.08
2741,129,5,4.29,39.33,2,238,24.06,134.71,79.99
2757,130,6,4.75,21.09,7,239,13.3,110.33,76.13
2806,131,5,3.38,29.0,37,240,21.25,138.0,75.59
2827,132,2,4.5,110.0,130,240,0.0,185.0,55.0
2831,133,2,6.67,57.0,5,119,48.0,46.0,51.75
2847,134,5,4.62,19.83,7,245,16.22,136.54,76.81
2883,135,5,5.7,21.44,1,194,15.03,94.9,64.16
2919,136,8,2.53,13.88,15,237,11.97,141.12,71.37
2957,137,2,1.0,82.0,86,168,0.0,127.0,41.0
2959,138,3,3.0,105.5,2,213,19.5,114.0,86.63
2968,139,5,6.71,36.5,11,230,23.92,122.0,83.86
2987,140,2,2.5,63.0,170,233,0.0,201.5,31.5
2990,141,6,5.75,28.71,24,225,22.93,116.38,74.96
3023,142,6,3.33,35.4,43,220,15.4,140.83,64.48
3038,143,5,2.73,22.4,15,239,23.26,142.0,58.9
3062,144,3,4.75,70.67,16,228,45.43,118.25,75.09
3081,145,5,5.0,33.8,69,238,17.97,142.67,61.17
3104,146,3,1.67,75.5,78,229,24.5,161.67,62.72
3109,147,2,6.0,46.0,191,237,0.0,214.0,23.0
3118,148,7,2.56,29.62,4,241,16.44,114.44,70.69
3136,149,5,3.0,19.7,43,240,21.33,158.18,68.06
3157,150,3,5.5,34.67,80,184,17.91,124.0,41.88
3167,151,8,4.41,14.44,14,245,6.77,132.59,68.67
3231,152,4,4.83,42.0,11,221,39.99,113.17,88.55
3251,153,7,6.0,28.88,6,237,15.77,136.0,77.88
3294,154,6,5.62,20.08,4,245,15.76,106.15,73.98
3325,155,8,4.18,15.0,4,244,9.41,121.18,75.33
3369,156,7,4.64,17.8,56,234,12.03,151.55,55.71
3403,157,4,6.25,39.33,10,128,4.64,68.25,43.33
3417,158,4,4.3,19.22,71,244,21.64,122.8,53.03
3443,159,3,3.75,26.33,139,218,20.04,190.75,32.07
3452,160,7,4.3,21.67,28,223,8.89,118.4,66.68
3486,161,5,3.83,43.4,2,219,20.85,124.83,75.93
3505,162,4,1.8,49.25,43,240,31.75,136.8,70.49
3513,163,3,3.33,35.8,36,215,30.27,102.17,67.1
3530,164,6,5.27,22.6,16,242,17.49,118.18,80.49
3567,165,2,4.0,50.33,92,243,55.63,197.0,61.12
3580,166,1,2.0,14.0,33,47,0.0,40.0,7.0
3584,167,7,2.5,22.89,23,229,17.72,115.7,76.29
3608,168,6,2.08,22.0,3,245,20.94,114.17,76.81
3629,169,7,3.89,27.38,7,226,16.88,96.56,68.81
3653,170,8,4.65,13.56,28,245,10.2,135.59,63.05
3714,171,6,3.75,27.57,31,224,19.78,135.12,67.02
3733,172,6,3.2,21.0,37,226,18.51,147.8,68.87
3762,173,5,4.62,32.86,12,242,22.6,152.0,70.31
3794,174,4,4.17,32.0,43,203,32.64,145.83,63.3
3809,175,4,4.83,42.8,21,235,29.38,148.67,74.26
3832,176,4,3.83,28.0,4,144,17.18,56.33,49.09
3844,177,6,1.92,20.18,22,244,19.38,169.75,69.37
3867,178,4,3.0,39.5,21,179,22.61,92.6,63.25
3879,179,3,2.75,35.0,114,219,20.83,164.25,37.25
3888,180,4,4.83,46.0,8,238,47.21,104.0,68.34
3907,181,2,4.0,114.0,4,232,105.0,83.0,105.42
3912,182,7,3.33,17.91,42,239,12.21,135.75,71.34
3948,183,6,2.09,22.9,2,231,14.38,130.91,77.74
3971,184,6,2.8,24.56,21,242,18.29,110.5,68.01
3992,185,7,5.25,30.86,26,242,18.67,132.5,72.05
4025,186,5,5.0,27.38,5,224,34.29,114.89,86.45
4060,187,7,3.22,27.62,7,228,14.97,126.78,67.1
4080,188,5,4.0,43.6,3,221,21.42,122.83,73.27
4103,189,3,4.5,46.0,29,167,43.15,75.5,53.96
4117,190,3,6.5,42.33,46,173,38.69,110.5,56.51
4131,191,4,5.4,36.25,74,219,35.22,167.4,49.9
4152,192,6,5.33,20.0,10,230,16.22,130.08,76.38
4203,193,4,5.0,44.8,17,241,42.15,152.33,84.23
4226,194,3,3.0,112.5,7,232,53.5,137.33,95.26
4232,195,6,2.67,26.88,12,227,16.05,118.0,78.49
4249,196,3,3.75,53.67,13,174,41.52,99.0,69.36
4260,197,7,8.92,19.82,26,244,15.4,154.5,57.75
4323,198,4,3.5,28.4,2,144,16.74,72.67,51.35
4337,199,2,6.5,28.0,170,198,0.0,184.0,14.0
4348,200,5,3.71,34.33,12,218,27.7,118.0,80.06
4369,201,4,3.8,51.5,28,234,48.42,127.6,86.63
4381,202,6,5.11,30.12,1,242,19.66,102.56,76.11
4420,203,4,2.5,31.0,151,244,19.3,188.25,38.14
4428,204,5,3.8,57.75,1,232,37.43,142.8,79.59
4446,205,6,3.91,14.6,54,200,11.67,124.18,50.17
4477,206,7,3.62,17.17,17,223,10.68,103.38,66.9
4515,207,4,4.8,54.0,29,245,30.94,138.4,76.4
4537,208,3,1.6,27.25,101,210,24.15,138.0,38.42
4545,209,8,4.5,17.15,13,236,9.21,132.57,63.67
4605,210,5,2.7,22.33,8,209,23.44,123.9,63.13
4625,211,1,3.0,0.0,124,124,0.0,124.0,0.0
4628,212,7,7.18,22.5,7,232,17.68,107.0,76.88
4667,213,4,4.86,32.33,37,231,32.22,127.86,77.35
4692,214,5,5.5,43.6,11,229,30.86,148.33,73.75
4714,215,5,6.29,25.83,34,189,20.7,122.29,62.35
4755,216,2,2.5,27.0,11,38,0.0,24.5,13.5
4760,217,4,4.4,34.25,92,229,22.26,171.0,53.12
4770,218,6,2.75,17.27,52,242,14.15,168.75,57.2
4800,219,3,4.33,52.5,100,205,25.5,161.0,44.52
4807,220,4,5.83,12.8,121,185,11.55,155.0,25.49
4825,221,4,4.25,40.33,81,202,22.88,134.0,43.67
4838,222,5,3.11,17.62,6,147,8.94,83.56,45.14
4862,223,5,5.14,25.0,56,206,17.27,117.86,56.57
4885,224,6,3.85,16.42,39,236,15.79,170.15,56.98
4930,225,7,3.64,17.23,18,242,13.31,133.64,75.53
4968,226,5,4.44,28.75,4,234,21.71,111.22,78.22
4990,227,5,3.25,29.14,14,218,29.84,146.5,61.09
5009,228,8,3.32,12.5,18,243,6.97,144.11,67.05
5054,229,4,3.83,33.8,72,241,23.63,174.67,61.24
5073,230,4,5.5,46.4,13,245,36.1,110.33,76.27
5080,231,5,5.0,35.5,10,223,33.68,106.71,73.18
5107,232,7,6.64,22.2,16,238,16.42,151.64,69.08
5139,233,6,3.33,32.2,25,186,18.74,105.0,61.78
5156,234,4,3.0,44.0,85,217,15.58,147.0,52.02
5167,235,1,4.5,11.0,165,176,0.0,170.5,5.5
5174,236,8,4.13,10.5,13,244,6.16,124.09,70.31
5246,237,4,5.67,39.4,48,245,41.12,172.33,60.79
5261,238,2,3.0,182.0,44,226,0.0,135.0,91.0
5267,239,4,3.83,36.4,43,225,34.56,166.33,63.82
5282,240,6,3.33,16.43,1,231,14.63,110.87,70.48
5328,241,6,3.85,15.83,8,198,14.36,112.23,62.85
5365,242,5,2.5,26.2,19,150,12.73,85.5,44.43
5374,243,8,3.27,10.71,12,237,8.77,131.73,68.09
5438,244,6,4.5,34.0,1,239,28.54,117.5,78.13
5470,245,2,3.0,44.5,18,107,34.5,51.0,39.81
5478,246,2,3.25,65.33,35,231,73.9,138.75,91.68
5489,247,3,3.67,119.5,1,240,92.5,151.33,106.87
5499,248,6,5.0,21.88,52,227,19.66,141.44,57.02
5539,249,3,2.5,61.0,30,213,49.52,122.5,79.58
5548,250,4,6.0,73.0,14,233,20.83,110.75,82.72
5566,251,4,4.0,58.0,57,231,31.16,161.0,65.22
5573,252,2,3.5,44.0,132,176,0.0,154.0,22.0
5577,253,7,3.73,19.8,42,240,9.51,136.27,62.54
5611,254,2,3.75,59.33,63,241,64.53,115.75,73.08
5617,255,4,4.0,28.4,56,198,14.4,132.67,49.11
5635,256,6,3.25,28.86,20,222,30.86,116.12,79.02
5654,257,6,5.17,44.2,15,236,28.87,129.0,80.26
5685,258,7,2.57,37.67,16,242,7.78,128.14,78.49
5702,259,4,2.33,27.6,37,175,24.36,101.17,40.68
5714,260,3,2.33,78.5,81,238,10.5,156.0,64.29
5721,261,8,8.39,13.71,3,236,10.01,123.22,72.99
5840,262,3,4.67,83.5,18,185,31.5,91.0,69.78
5849,263,7,3.42,19.55,19,234,11.61,131.17,68.38
5883,264,8,2.94,13.29,18,244,11.37,140.17,70.77
5920,265,3,2.0,44.33,66,199,18.7,129.75,53.21
5928,266,3,3.0,32.33,43,140,24.23,97.5,34.82
5935,267,4,5.25,75.33,6,232,9.67,118.75,85.88
5950,268,5,3.43,27.17,31,194,17.52,117.29,61.81
5967,269,4,2.0,33.8,51,220,25.76,114.33,58.11
5978,270,6,6.25,27.14,7,197,19.41,123.88,64.73
6007,271,7,4.62,30.57,13,227,20.58,142.5,77.45
6037,272,1,4.0,0.0,26,26,0.0,26.0,0.0
6041,273,4,2.6,43.5,40,214,32.48,151.6,61.22
6052,274,7,4.2,19.56,40,216,11.1,130.6,58.61
6087,275,4,3.75,32.0,7,231,22.78,123.12,82.96
6110,276,8,3.23,19.92,1,240,9.43,134.08,75.23
6143,277,8,5.74,12.44,2,226,8.53,95.32,70.49
6209,278,7,2.5,21.91,4,245,18.84,112.58,78.19
6234,279,4,6.8,55.0,18,238,31.56,132.0,74.92
6255,280,5,3.0,51.75,28,235,40.35,122.0,87.12
6270,281,3,2.33,95.5,9,200,2.5,103.67,77.98
6273,282,4,4.0,53.33,43,203,42.16,137.5,58.41
6284,283,6,3.25,16.91,39,225,18.69,139.75,63.69
6312,284,2,3.33,29.5,14,73,23.5,35.67,26.51
6316,285,3,6.5,32.33,44,141,18.8,86.25,35.04
6332,286,6,2.75,27.14,48,238,18.02,121.38,58.02
6348,287,4,2.5,27.0,3,192,34.9,135.62,58.25
6365,288,6,6.93,17.14,5,245,21.08,103.07,78.06
6436,289,3,7.0,75.5,16,167,10.5,95.0,61.84
6445,290,4,7.4,55.25,16,237,37.15,136.4,81.2
6457,291,8,3.8,24.78,19,242,9.29,132.1,68.97
6495,292,4,3.6,49.75,1,200,41.57,120.8,65.81
6510,293,3,2.0,21.5,99,185,16.41,138.4,31.65
6518,294,6,2.8,24.44,16,236,31.88,89.0,60.86
6538,295,3,2.67,103.5,18,225,61.5,101.0,89.34
6543,296,5,4.6,54.25,7,224,47.98,89.8,74.67
6563,297,3,4.6,18.56,37,204,32.96,153.5,58.23
6593,298,3,3.0,33.0,43,142,20.41,98.75,35.67
6604,299,6,2.56,27.88,15,238,20.34,102.11,70.36
6623,300,6,2.46,18.58,14,237,16.18,109.69,71.09
6642,301,8,4.09,22.0,18,238,9.47,140.91,67.07
6674,302,5,3.5,40.2,19,220,26.26,96.67,71.36
6691,303,8,3.1,11.32,15,230,10.3,138.05,65.59
6740,304,5,3.33,31.6,71,229,18.65,139.33,49.63
6756,305,3,1.33,61.5,113,236,38.5,161.67,53.39
6760,306,4,6.0,43.0,23,238,42.64,131.17,77.76
6769,307,1,1.0,0.0,38,38,0.0,38.0,0.0
6770,308,4,3.2,36.25,95,240,18.54,181.6,50.95
6782,309,8,3.0,16.85,6,225,11.48,129.57,70.14
6817,310,4,3.75,52.67,10,168,21.14,86.5,62.99
6826,311,4,1.8,56.75,11,238,30.93,135.2,78.42
6833,312,8,3.5,12.11,6,236,10.1,150.45,64.62
6885,313,3,5.5,53.67,39,200,47.15,129.75,70.9
6900,314,5,3.83,39.6,40,238,19.93,116.33,70.3
6921,315,4,6.5,32.8,68,232,36.48,174.83,65.63
6939,316,4,2.8,40.75,2,165,31.89,105.8,56.33
6949,317,6,4.5,33.43,8,242,25.95,112.0,77.79
6964,318,7,6.0,27.75,15,237,15.72,114.44,74.69
6984,319,8,3.81,14.27,13,227,10.43,122.56,73.9
7033,320,4,6.8,51.0,40,244,29.52,153.4,68.77
7058,321,3,2.67,23.0,143,189,4.0,164.67,18.87
7061,322,6,5.0,23.11,6,214,13.73,105.9,71.99
7094,323,1,5.0,0.0,92,92,0.0,92.0,0.0
7098,324,7,9.64,18.46,1,241,15.01,148.21,73.55
7138,325,7,2.0,25.89,2,235,16.02,130.4,72.86
7157,326,5,1.88,25.43,46,224,23.22,141.12,68.47
7169,327,1,3.0,0.0,42,42,0.0,42.0,0.0
7172,328,4,3.0,34.75,62,201,14.96,143.8,51.88
7184,329,8,2.69,16.07,3,244,10.88,133.81,62.94
7219,330,4,3.88,17.29,101,222,15.38,144.5,41.18
7242,331,2,3.5,66.67,16,216,84.44,72.25,83.16
7251,332,4,3.78,29.38,9,244,33.49,140.67,89.6
7274,333,4,3.2,38.25,30,183,31.24,107.2,64.43
7284,334,3,2.75,32.33,98,195,34.26,166.25,39.98
7291,335,4,4.0,50.75,13,216,34.4,96.0,75.86
7308,336,7,3.82,14.12,4,230,13.19,107.41,76.41
7368,337,4,3.0,43.5,68,242,33.71,182.6,63.12
7380,338,3,5.0,30.67,28,120,15.37,74.75,32.69
7393,339,5,1.83,35.4,56,233,30.39,158.67,69.24
7400,340,4,3.33,31.8,67,226,27.98,171.83,58.54
7416,341,4,4.8,43.5,36,210,19.83,120.2,57.13
7435,342,6,2.62,34.0,3,241,26.18,140.62,74.93
7452,343,3,4.25,21.33,52,116,12.66,80.0,23.08
7464,344,8,4.72,13.35,6,233,9.83,126.39,72.9
7525,345,7,5.25,20.0,11,231,10.42,128.08,73.72
7560,346,7,3.2,23.11,12,220,16.99,129.7,67.42
7587,347,4,5.17,32.2,76,237,30.06,183.5,54.03
7611,348,5,4.75,25.71,61,241,22.15,169.5,60.45
7631,349,7,3.1,23.78,29,243,18.47,133.4,76.78
7657,350,6,2.71,37.83,6,233,34.52,150.86,68.33
7676,351,2,4.5,131.0,31,162,0.0,96.5,65.5
7685,352,3,4.4,31.25,51,176,38.09,107.2,56.67
7700,353,7,6.67,16.45,43,224,10.95,143.58,58.84
7756,354,7,3.6,25.56,5,235,13.7,134.4,80.83
7786,355,3,4.25,45.33,76,212,33.03,124.75,52.94
7801,356,4,1.8,31.25,28,153,18.09,90.2,42.6
7809,357,7,7.89,25.0,16,216,10.09,107.78,69.37
7842,358,5,5.88,30.57,4,218,29.69,123.5,78.31
7871,359,3,4.0,50.67,93,245,33.83,186.0,62.75
7878,360,5,9.6,50.25,24,225,31.2,113.2,76.75
7911,361,2,3.0,53.0,62,168,41.0,128.67,47.39
7919,362,6,3.2,26.0,5,239,18.64,121.3,73.48
7941,363,7,5.78,22.0,45,221,15.95,146.44,58.01
7966,364,4,3.33,28.2,65,206,32.08,157.67,56.66
7981,365,3,7.0,60.0,17,197,35.01,128.0,71.44
7999,366,3,4.25,18.33,130,185,9.57,153.0,22.12
8012,367,3,2.5,44.67,16,150,28.78,65.75,53.79
8021,368,7,3.82,22.0,13,233,15.09,141.55,69.24
8054,369,7,4.7,22.78,6,211,7.48,101.5,66.47
8095,370,8,4.0,13.22,6,244,10.9,102.0,70.69
8148,371,5,4.2,39.75,23,182,19.18,89.6,60.35
8165,372,6,2.86,40.17,3,244,27.61,112.86,89.0
8182,373,6,4.45,21.4,30,244,15.11,137.45,71.32
8220,374,3,1.33,71.5,91,234,31.5,173.0,60.24
8224,375,5,4.5,44.2,3,224,26.22,120.83,75.01
8236,376,3,3.0,40.25,51,212,32.8,119.8,59.15
8248,377,7,7.0,31.14,26,244,13.26,137.0,75.02
8276,378,8,5.35,14.25,16,244,8.88,128.12,79.76
8345,379,6,3.29,35.5,27,240,19.11,137.57,79.05
8364,380,2,2.5,227.0,2,229,0.0,115.5,113.5
8368,381,3,2.33,25.0,15,140,29.06,66.0,47.38
8379,382,5,3.29,38.5,2,233,28.86,124.0,88.68
8401,383,7,4.3,20.56,28,213,13.23,118.6,56.58
8435,384,7,3.56,26.75,6,220,14.55,113.89,75.43
8456,385,8,3.39,12.76,28,245,10.51,149.72,63.46
8507,386,4,5.2,39.0,35,191,23.59,97.6,59.33
8533,387,3,2.0,63.0,52,178,33.0,126.0,53.74
8538,388,8,3.62,15.87,1,239,10.64,102.0,73.22
8589,389,2,13.6,10.0,199,239,5.39,223.0,13.81
8594,390,6,5.5,18.36,9,211,13.72,122.33,65.52
8642,391,2,9.0,132.0,53,185,0.0,119.0,66.0
8648,392,3,3.17,32.4,61,223,45.99,181.0,54.88
8665,393,5,3.43,37.17,18,241,32.07,172.57,77.37
8680,394,6,4.0,32.14,3,228,22.06,122.25,68.81
8698,395,6,3.17,20.18,16,238,22.02,100.33,69.16
8725,396,2,2.5,85.0,35,120,0.0,77.5,42.5
8730,397,3,5.0,81.0,3,165,63.0,105.0,72.5
8742,398,3,3.2,33.5,44,178,27.41,108.8,57.17
8755,399,6,4.09,18.4,22,206,15.74,122.45,69.03
8790,400,5,7.14,31.17,42,229,15.57,145.43,61.3
8827,401,6,3.83,37.0,13,198,19.52,103.0,65.54
8849,402,6,4.83,37.8,6,195,14.91,107.83,65.06
8871,403,1,1.5,22.0,67,89,0.0,78.0,11.0
8874,404,6,3.15,18.67,11,235,18.63,134.31,74.05
8902,405,6,4.73,21.9,14,233,20.04,129.64,71.28
8946,406,4,5.6,38.25,17,170,30.13,83.6,58.15
8969,407,5,2.6,50.5,17,219,15.17,122.0,70.25
8978,408,7,7.5,28.86,21,223,20.25,111.5,62.5
9023,409,5,2.0,31.83,15,206,20.19,107.29,59.43
9036,410,6,5.75,21.86,60,213,16.45,138.88,54.01
9066,411,4,2.29,28.17,61,230,29.17,175.14,51.92
9077,412,5,3.17,44.0,22,242,20.09,145.5,79.37
9095,413,6,2.5,29.0,30,233,19.94,113.38,74.71
9114,414,6,2.43,38.0,16,244,19.31,137.57,86.93
9126,415,3,3.33,116.0,13,245,74.0,104.33,100.93
9133,416,3,4.0,89.5,31,210,49.5,137.0,76.71
9145,417,4,5.0,26.25,83,188,19.72,153.0,39.4
9161,418,4,4.86,23.0,54,192,14.27,123.0,52.65
9192,419,5,1.8,58.0,13,245,51.42,95.6,81.34
9198,420,3,3.2,30.25,42,163,29.42,111.2,50.81
9213,421,3,4.67,50.0,66,166,26.0,124.67,42.62
9227,422,8,3.75,33.43,6,240,7.46,123.25,72.94
9247,423,7,4.12,30.86,25,241,20.68,151.88,71.61
9271,424,8,3.05,11.74,13,236,12.34,114.65,77.32
9320,425,6,2.62,28.43,18,217,17.35,122.0,59.82
9340,426,3,3.33,104.0,31,239,7.0,137.33,84.98
9344,427,2,3.0,228.0,5,233,0.0,119.0,114.0
9349,428,5,2.86,34.83,35,244,28.5,155.29,78.66
9367,429,5,2.67,39.0,20,215,32.39,143.33,72.77
9382,430,6,4.2,21.78,22,218,21.95,145.5,60.77
9409,431,7,6.5,19.0,23,232,13.52,133.25,55.54
9444,432,5,3.14,33.33,32,232,18.66,142.57,69.84
9456,433,2,4.0,46.0,143,189,0.0,166.0,23.0
9462,434,4,2.0,33.25,97,230,19.4,170.8,43.67
9472,435,7,3.27,22.5,7,232,18.48,91.27,67.47
9505,436,2,3.5,168.0,8,176,0.0,92.0,84.0
9510,437,4,3.33,39.2,15,211,20.62,112.83,68.26
9528,438,2,8.0,84.0,16,100,0.0,58.0,42.0
9538,439,6,11.27,22.3,17,240,15.4,140.09,74.4
9612,440,4,1.6,22.0,80,168,13.06,126.6,29.73
9620,441,4,3.0,52.25,30,239,42.76,127.0,88.76
9634,442,7,3.5,20.55,2,228,13.38,121.75,72.98
9670,443,4,2.25,53.67,41,202,19.91,110.0,62.2
9679,444,7,4.11,29.62,8,245,21.41,127.22,85.57
9711,445,3,7.25,35.67,10,117,33.48,46.0,41.86
9729,446,4,4.43,37.67,15,241,30.87,153.29,75.73
9756,447,4,2.2,38.25,34,187,19.07,109.6,53.89
9767,448,2,4.5,85.0,104,189,0.0,146.5,42.5
