,userID,u_EF,u_avg_orders,u_avg_period,u_first_bought,u_last_bought,u_std_avg_period,u_mean_bought,u_std_bought
1955,109,6,3.38,25.86,36,217,22.58,117.12,64.2
1981,110,7,5.2,20.11,15,196,9.72,110.1,55.72
2023,111,4,2.2,45.5,14,196,42.72,104.4,76.73
2031,112,2,2.5,37.0,142,179,0.0,160.5,18.5
2035,113,7,2.46,17.25,6,213,10.72,90.38,60.46
2060,114,6,4.18,13.06,2,211,16.23,83.94,66.89
2130,115,3,3.67,48.5,119,216,31.5,157.0,42.29
2141,116,4,4.0,53.33,1,161,39.72,100.25,60.13
2153,117,5,5.12,25.86,31,212,13.75,113.0,59.79
2183,118,6,3.22,21.62,19,192,17.69,111.67,48.5
2209,119,5,6.43,29.33,38,214,13.62,142.57,56.74
2238,120,5,2.4,40.0,27,187,33.67,105.2,67.54
2249,121,3,1.8,48.25,7,200,50.83,98.4,84.42
2257,122,5,3.12,18.29,72,200,13.48,132.12,47.01
2272,123,5,3.8,44.25,28,205,10.64,120.2,61.61
2282,124,6,1.78,22.88,27,210,17.27,91.56,57.09
2298,125,3,2.33,62.0,17,141,44.0,64.33,54.71
2305,126,5,3.57,34.0,12,216,24.3,99.29,59.66
2327,127,4,2.29,35.0,7,217,22.29,99.43,68.88
2342,128,4,1.6,37.0,28,176,11.68,100.2,50.48
2349,129,4,4.8,47.25,2,191,25.38,96.4,61.62
2363,130,6,5.0,21.0,7,217,13.94,98.64,68.42
2410,131,4,2.83,30.2,37,188,19.43,104.17,55.14
2425,132,1,4.0,0.0,130,130,0.0,130.0,0.0
2426,133,2,6.67,57.0,5,119,48.0,46.0,51.75
2442,134,4,3.82,20.4,7,211,16.21,116.91,66.84
2468,135,5,5.7,21.44,1,194,15.03,94.9,64.16
2504,136,8,2.4,14.36,15,216,12.31,129.6,68.07
2536,137,2,1.0,82.0,86,168,0.0,127.0,41.0
2538,138,3,3.0,105.5,2,213,19.5,114.0,86.63
2547,139,4,7.8,38.0,11,163,18.85,79.2,58.61
2561,140,1,3.0,0.0,170,170,0.0,170.0,0.0
2562,141,5,6.17,31.0,24,179,24.26,81.0,49.85
2588,142,5,3.2,38.25,43,196,15.99,125.0,59.04
2600,143,4,2.7,19.89,15,194,23.2,132.3,52.74
2621,144,2,5.33,51.0,16,118,44.0,81.67,46.52
2637,145,4,5.0,30.75,69,192,18.9,123.6,48.05
2657,146,2,2.0,100.0,78,178,0.0,128.0,50.0
2661,147,1,7.0,0.0,191,191,0.0,191.0,0.0
2665,148,6,2.5,28.57,4,204,17.32,98.62,58.05
2681,149,5,2.67,21.62,43,216,23.45,141.33,63.97
2697,150,3,5.5,34.67,80,184,17.91,124.0,41.88
2707,151,8,4.6,14.5,14,217,6.58,118.0,59.45
2765,152,3,2.75,47.67,11,154,43.37,59.5,55.87
2774,153,6,5.71,34.5,6,213,14.3,109.0,67.12
2808,154,5,6.0,17.2,4,176,14.36,82.73,53.69
2832,155,7,4.36,14.77,4,196,9.2,97.0,59.71
2869,156,6,4.67,17.38,56,195,12.12,134.11,46.03
2897,157,4,6.25,39.33,10,128,4.64,68.25,43.33
2911,158,3,4.67,13.62,71,180,15.65,109.33,36.2
2936,159,3,3.67,39.0,139,217,11.0,181.67,32.26
2942,160,6,4.0,22.0,28,204,9.38,106.78,59.91
2970,161,4,4.4,44.5,2,180,23.18,106.0,69.21
2988,162,3,1.5,41.33,43,167,33.07,111.0,53.69
2993,163,3,3.33,35.8,36,215,30.27,102.17,67.1
3010,164,5,5.88,20.43,16,159,12.86,75.25,46.06
3039,165,1,1.0,0.0,92,92,0.0,92.0,0.0
3040,166,1,2.0,14.0,33,47,0.0,40.0,7.0
3044,167,6,2.88,26.57,23,209,18.51,88.5,59.76
3066,168,5,1.73,18.5,3,188,18.64,102.27,68.84
3083,169,6,4.12,23.86,7,174,15.06,80.38,54.5
3106,170,7,4.81,12.13,28,210,8.85,128.75,58.56
3165,171,5,3.86,28.0,31,199,21.33,122.43,62.0
3181,172,5,3.22,21.75,37,211,19.5,139.11,67.19
3207,173,4,3.83,36.4,12,194,25.9,126.0,61.96
3225,174,4,4.17,32.0,43,203,32.64,145.83,63.3
3240,175,3,6.25,55.67,21,188,31.05,109.0,59.39
3260,176,4,3.83,28.0,4,144,17.18,56.33,49.09
3272,177,5,2.0,30.33,22,204,20.96,125.71,59.59
3286,178,4,3.0,39.5,21,179,22.61,92.6,63.25
3298,179,2,2.33,25.5,114,165,19.5,146.0,22.76
3305,180,3,4.8,25.75,8,111,27.11,77.2,35.99
3319,181,1,5.0,9.0,4,13,0.0,8.5,4.5
3322,182,6,3.56,20.88,42,209,12.89,103.67,51.56
3350,183,5,1.88,25.71,2,182,12.6,95.25,60.34
3365,184,5,2.56,20.12,21,182,14.14,95.89,54.81
3383,185,6,5.43,27.17,26,189,17.64,116.86,63.04
3413,186,4,5.5,28.57,5,205,36.5,101.25,82.05
3447,187,6,3.38,25.0,7,182,14.17,114.12,60.2
3465,188,4,3.6,43.25,3,176,23.93,103.2,64.26
3483,189,3,4.5,46.0,29,167,43.15,75.5,53.96
3497,190,3,6.5,42.33,46,173,38.69,110.5,56.51
3511,191,3,5.5,41.67,74,199,39.19,154.5,47.75
3530,192,5,5.67,21.5,10,182,16.18,98.67,61.85
3570,193,3,5.0,55.0,17,182,49.2,110.25,72.93
3585,194,2,3.5,166.0,7,173,0.0,90.0,83.0
3589,195,6,2.88,29.0,12,215,16.07,104.38,72.52
3605,196,3,3.75,53.67,13,174,41.52,99.0,69.36
3616,197,6,9.18,18.4,26,210,15.45,146.36,53.32
3674,198,4,3.5,28.4,2,144,16.74,72.67,51.35
3688,199,2,6.5,28.0,170,198,0.0,184.0,14.0
3699,200,4,4.0,40.4,12,214,26.46,101.33,74.39
3719,201,3,5.0,33.0,28,94,6.0,59.0,27.09
3728,202,5,5.25,25.14,1,177,15.59,85.12,61.5
3763,203,3,3.0,26.0,151,203,22.0,169.67,23.63
3770,204,4,3.75,62.67,1,189,42.09,120.5,73.71
3784,205,6,3.91,14.6,54,200,11.67,124.18,50.17
3815,206,6,3.75,16.27,17,196,10.72,93.42,59.64
3851,207,3,4.0,48.33,29,174,33.89,111.75,61.2
3867,208,3,1.6,27.25,101,210,24.15,138.0,38.42
3875,209,7,4.58,16.82,13,198,9.64,116.42,53.81
3927,210,5,2.7,22.33,8,209,23.44,123.9,63.13
3947,211,1,3.0,0.0,124,124,0.0,124.0,0.0
3950,212,6,7.5,23.0,7,214,18.57,94.5,69.16
3985,213,3,4.2,34.5,37,175,34.33,86.8,49.77
3998,214,4,4.4,47.75,11,202,33.24,132.2,70.47
4015,215,5,6.29,25.83,34,189,20.7,122.29,62.35
4056,216,2,2.5,27.0,11,38,0.0,24.5,13.5
4061,217,3,2.5,40.33,92,213,22.65,156.5,49.76
4070,218,5,3.0,17.78,52,212,14.71,154.5,52.03
4097,219,3,4.33,52.5,100,205,25.5,161.0,44.52
4104,220,4,5.83,12.8,121,185,11.55,155.0,25.49
4122,221,4,4.25,40.33,81,202,22.88,134.0,43.67
4135,222,5,3.11,17.62,6,147,8.94,83.56,45.14
4159,223,5,5.14,25.0,56,206,17.27,117.86,56.57
4182,224,5,4.11,21.25,39,209,17.33,144.67,50.63
4214,225,6,3.75,17.64,18,212,14.38,117.08,68.73
4247,226,4,4.71,26.5,4,163,17.84,77.0,50.93
4265,227,5,3.0,33.5,14,215,30.1,136.29,58.57
4283,228,7,2.67,13.93,18,213,6.97,120.67,55.43
4317,229,3,3.5,43.67,72,203,25.75,144.75,54.03
4329,230,3,4.2,40.0,13,173,37.74,83.4,51.26
4335,231,4,5.0,29.0,10,155,33.28,87.33,60.15
4357,232,6,6.56,22.75,16,198,17.31,133.33,63.14
4384,233,6,3.33,32.2,25,186,18.74,105.0,61.78
4401,234,4,3.0,44.0,85,217,15.58,147.0,52.02
4412,235,1,4.5,11.0,165,176,0.0,170.5,5.5
4419,236,8,4.1,10.1,13,215,6.23,113.52,64.22
4485,237,3,6.0,37.5,48,198,45.77,157.8,56.27
4496,238,1,4.0,0.0,44,44,0.0,44.0,0.0
4500,239,3,4.4,40.5,43,205,37.53,154.6,63.73
4514,240,5,3.46,15.08,1,182,14.37,93.23,58.27
4555,241,6,3.85,15.83,8,198,14.36,112.23,62.85
4592,242,5,2.5,26.2,19,150,12.73,85.5,44.43
4601,243,7,3.5,10.71,12,194,8.12,109.83,55.0
4658,244,5,4.83,26.4,1,133,17.26,79.17,47.41
4683,245,2,3.0,44.5,18,107,34.5,51.0,39.81
4691,246,1,3.0,25.0,35,60,0.0,47.5,12.5
4697,247,2,4.5,212.0,1,213,0.0,107.0,106.0
4705,248,5,5.43,18.33,52,162,15.76,118.0,41.27
4739,249,3,2.5,61.0,30,213,49.52,122.5,79.58
4748,250,3,6.67,60.5,14,135,13.5,70.0,49.81
4762,251,3,2.0,70.0,57,197,32.0,137.67,59.11
4767,252,2,3.5,44.0,132,176,0.0,154.0,22.0
4771,253,6,3.9,18.89,42,212,9.6,125.9,55.85
4803,254,1,3.33,14.0,63,91,9.0,74.0,12.19
4807,255,4,4.0,28.4,56,198,14.4,132.67,49.11
4825,256,5,3.43,29.67,20,198,33.26,101.0,72.84
4842,257,5,5.4,45.75,15,198,32.1,107.6,70.58
4869,258,6,2.83,38.8,16,210,8.06,109.17,68.32
4885,259,4,2.33,27.6,37,175,24.36,101.17,40.68
4897,260,2,2.0,68.0,81,149,0.0,115.0,34.0
4901,261,7,8.25,14.07,3,214,10.45,109.5,65.56
5006,262,3,4.67,83.5,18,185,31.5,91.0,69.78
5015,263,7,3.55,19.7,19,216,12.17,121.82,63.66
5047,264,7,2.93,13.07,18,201,11.21,120.8,61.27
5075,265,3,2.0,44.33,66,199,18.7,129.75,53.21
5083,266,3,3.0,32.33,43,140,24.23,97.5,34.82
5090,267,3,5.0,78.5,6,163,10.5,81.0,64.29
5100,268,5,3.43,27.17,31,194,17.52,117.29,61.81
5117,269,3,2.0,23.0,51,143,15.7,93.2,37.04
5126,270,6,6.25,27.14,7,197,19.41,123.88,64.73
5155,271,6,4.33,38.0,13,203,18.97,114.67,69.99
5175,272,1,4.0,0.0,26,26,0.0,26.0,0.0
5179,273,4,2.6,43.5,40,214,32.48,151.6,61.22
5190,274,7,4.2,19.56,40,216,11.1,130.6,58.61
5225,275,3,3.83,34.8,7,181,22.48,87.67,64.39
5244,276,7,3.9,23.0,1,208,8.38,105.2,61.07
5274,277,7,5.78,11.59,2,199,7.99,88.06,65.14
5337,278,6,2.1,22.22,4,204,20.42,87.3,59.11
5357,279,3,4.75,55.67,18,185,36.42,105.5,59.21
5367,280,4,3.25,61.0,28,211,42.76,93.75,74.14
5380,281,3,2.33,95.5,9,200,2.5,103.67,77.98
5383,282,4,4.0,53.33,43,203,42.16,137.5,58.41
5394,283,5,3.09,17.1,39,210,19.59,132.0,60.86
5418,284,2,3.33,29.5,14,73,23.5,35.67,26.51
5422,285,3,6.5,32.33,44,141,18.8,86.25,35.04
5438,286,5,2.86,20.33,48,170,7.36,104.71,40.33
5452,287,4,2.5,27.0,3,192,34.9,135.62,58.25
5469,288,5,7.42,11.91,5,136,6.61,69.75,45.28
5525,289,3,7.0,75.5,16,167,10.5,95.0,61.84
5534,290,3,9.0,55.33,16,182,42.9,111.25,71.27
5545,291,7,4.0,24.14,19,188,10.23,107.5,53.73
5577,292,4,3.6,49.75,1,200,41.57,120.8,65.81
5592,293,3,2.0,21.5,99,185,16.41,138.4,31.65
5600,294,5,2.11,13.5,16,124,8.06,72.67,38.04
5614,295,2,2.5,42.0,18,60,0.0,39.0,21.0
5618,296,4,4.25,28.67,7,93,21.23,56.25,36.63
5632,297,3,4.6,18.56,37,204,32.96,153.5,58.23
5662,298,3,3.0,33.0,43,142,20.41,98.75,35.67
5673,299,5,2.38,25.14,15,191,20.33,85.12,54.52
5688,300,5,2.73,16.9,14,183,15.88,87.64,52.95
5705,301,8,4.2,22.0,18,216,9.98,131.2,62.53
5734,302,4,3.0,30.5,19,141,19.78,72.0,49.59
5746,303,8,2.94,12.5,15,215,10.76,122.53,58.77
5785,304,4,3.4,24.0,71,167,12.08,121.4,32.03
5800,305,2,1.5,23.0,113,136,0.0,124.5,11.5
5803,306,3,7.0,39.75,23,182,47.12,109.8,67.2
5811,307,1,1.0,0.0,38,38,0.0,38.0,0.0
5812,308,3,4.0,47.0,95,189,20.0,148.67,39.52
5821,309,8,3.08,17.5,6,216,11.72,122.23,67.41
5855,310,4,3.75,52.67,10,168,21.14,86.5,62.99
5864,311,3,1.75,53.67,11,172,35.18,109.5,66.21
5869,312,7,3.53,12.94,6,213,10.72,137.12,60.98
5913,313,3,5.5,53.67,39,200,47.15,129.75,70.9
5928,314,4,3.6,33.0,40,172,16.69,92.0,48.76
5945,315,4,4.75,49.0,68,215,39.05,146.5,63.66
5955,316,4,2.8,40.75,2,165,31.89,105.8,56.33
5965,317,5,4.14,33.67,8,210,28.02,93.43,64.48
5978,318,6,5.0,25.43,15,193,15.47,99.12,64.52
5995,319,7,3.29,15.15,13,210,10.72,107.86,67.16
6033,320,3,6.75,47.33,40,182,33.29,130.75,57.84
6054,321,3,2.67,23.0,143,189,4.0,164.67,18.87
6057,322,6,5.0,23.11,6,214,13.73,105.9,71.99
6090,323,1,5.0,0.0,92,92,0.0,92.0,0.0
6094,324,6,8.09,21.3,1,214,15.67,124.09,64.54
6118,325,6,1.89,24.25,2,196,16.27,118.78,67.43
6134,326,5,1.86,28.17,46,215,24.01,129.29,65.09
6144,327,1,3.0,0.0,42,42,0.0,42.0,0.0
6147,328,4,3.0,34.75,62,201,14.96,143.8,51.88
6159,329,7,2.07,15.62,3,206,11.3,119.93,54.41
6186,330,3,4.0,16.5,101,200,16.48,133.43,30.94
6206,331,2,3.5,66.67,16,216,84.44,72.25,83.16
6215,332,4,3.71,34.67,9,217,37.2,113.0,82.86
6233,333,4,3.2,38.25,30,183,31.24,107.2,64.43
6243,334,3,2.75,32.33,98,195,34.26,166.25,39.98
6250,335,4,4.0,50.75,13,216,34.4,96.0,75.86
6267,336,6,4.0,14.21,4,203,13.81,91.47,66.74
6322,337,3,2.67,67.0,68,202,32.0,145.67,56.75
6328,338,3,5.0,30.67,28,120,15.37,74.75,32.69
6341,339,4,2.0,43.33,56,186,32.31,121.75,55.71
6345,340,3,3.25,45.67,67,204,28.52,146.5,56.64
6356,341,4,4.8,43.5,36,210,19.83,120.2,57.13
6375,342,5,2.83,34.4,3,175,23.44,107.33,55.25
6388,343,3,4.25,21.33,52,116,12.66,80.0,23.08
6400,344,7,4.67,13.71,6,198,9.33,105.93,62.17
6448,345,7,5.0,22.89,11,217,8.87,107.6,63.27
6476,346,6,3.22,23.25,12,198,18.02,119.67,63.59
6501,347,3,5.8,34.5,76,214,33.22,172.8,53.06
6523,348,4,3.8,29.25,61,178,19.16,129.2,38.86
6534,349,6,3.0,23.0,29,190,18.09,106.88,62.03
6555,350,5,2.83,37.4,6,193,37.8,137.17,64.3
6572,351,2,4.5,131.0,31,162,0.0,96.5,65.5
6581,352,3,4.4,31.25,51,176,38.09,107.2,56.67
6596,353,6,6.18,15.7,43,200,11.21,136.27,56.0
6645,354,6,3.38,28.57,5,205,12.34,109.5,71.18
6667,355,3,4.25,45.33,76,212,33.03,124.75,52.94
6682,356,4,1.8,31.25,28,153,18.09,90.2,42.6
6690,357,7,7.89,25.0,16,216,10.09,107.78,69.37
6723,358,4,5.86,32.17,4,197,31.79,110.0,74.5
6748,359,2,6.0,71.0,93,164,0.0,128.5,35.5
6751,360,4,8.0,45.67,24,161,34.84,85.25,58.79
6777,361,2,3.0,53.0,62,168,41.0,128.67,47.39
6785,362,5,2.67,23.38,5,192,18.13,108.22,65.5
6803,363,7,5.62,24.57,45,217,15.42,137.12,54.81
6824,364,4,3.33,28.2,65,206,32.08,157.67,56.66
6839,365,3,7.0,60.0,17,197,35.01,128.0,71.44
6857,366,3,4.25,18.33,130,185,9.57,153.0,22.12
6870,367,3,2.5,44.67,16,150,28.78,65.75,53.79
6879,368,6,3.78,23.5,13,201,16.5,122.78,62.54
6905,369,7,4.7,22.78,6,211,7.48,101.5,66.47
6946,370,7,3.94,12.94,6,213,11.5,86.06,56.27
6995,371,5,4.2,39.75,23,182,19.18,89.6,60.35
7012,372,5,2.5,36.8,3,187,29.1,91.0,76.79
7024,373,5,4.12,21.57,30,181,13.58,101.88,48.23
7050,374,2,1.5,103.0,91,194,0.0,142.5,51.5
7053,375,4,3.6,49.0,3,199,27.28,100.2,64.79
7063,376,3,3.0,40.25,51,212,32.8,119.8,59.15
7075,377,6,6.67,34.6,26,199,14.26,104.83,57.69
7094,378,7,5.85,15.67,16,204,9.57,96.38,63.37
7151,379,5,1.8,40.0,27,187,21.24,100.2,61.86
7159,380,1,2.0,0.0,2,2,0.0,2.0,0.0
7161,381,3,2.33,25.0,15,140,29.06,66.0,47.38
7172,382,4,3.4,49.25,2,199,29.51,82.2,69.91
7188,383,7,4.3,20.56,28,213,13.23,118.6,56.58
7222,384,6,3.43,29.0,6,180,11.9,83.71,56.73
7238,385,7,3.33,12.57,28,204,10.55,131.73,53.7
7281,386,4,5.2,39.0,35,191,23.59,97.6,59.33
7307,387,3,2.0,63.0,52,178,33.0,126.0,53.74
7312,388,7,3.73,15.07,1,212,10.58,92.87,66.22
7361,389,1,1.0,0.0,199,199,0.0,199.0,0.0
7362,390,6,5.5,18.36,9,211,13.72,122.33,65.52
7410,391,2,9.0,132.0,53,185,0.0,119.0,66.0
7416,392,2,3.6,37.25,61,210,50.27,172.6,56.49
7432,393,4,3.75,58.67,18,194,27.05,122.5,68.01
7442,394,5,4.29,29.17,3,178,22.49,107.14,59.88
7458,395,5,3.27,15.8,16,174,17.95,87.82,57.78
7484,396,2,2.5,85.0,35,120,0.0,77.5,42.5
7489,397,3,5.0,81.0,3,165,63.0,105.0,72.5
7501,398,3,3.2,33.5,44,178,27.41,108.8,57.17
7514,399,6,4.09,18.4,22,206,15.74,122.45,69.03
7549,400,4,6.5,31.8,42,201,16.99,131.5,55.01
7578,401,6,3.83,37.0,13,198,19.52,103.0,65.54
7600,402,6,4.83,37.8,6,195,14.91,107.83,65.06
7622,403,1,1.5,22.0,67,89,0.0,78.0,11.0
7625,404,5,3.25,18.27,11,212,19.41,125.92,70.89
7652,405,5,4.89,24.88,14,213,21.39,107.89,60.02
7689,406,4,5.6,38.25,17,170,30.13,83.6,58.15
7712,407,4,2.5,52.67,17,175,16.98,97.75,56.82
7718,408,6,8.29,25.83,21,176,20.36,95.57,49.34
7761,409,5,2.0,31.83,15,206,20.19,107.29,59.43
7774,410,6,5.75,21.86,60,213,16.45,138.88,54.01
7804,411,3,2.5,28.8,61,205,31.91,166.0,50.59
7814,412,4,2.6,47.25,22,211,21.25,126.2,72.97
7826,413,6,2.71,31.17,30,217,20.76,96.29,63.58
7844,414,5,1.8,47.0,16,204,15.64,96.6,68.53
7853,415,2,4.5,42.0,13,55,0.0,34.0,21.0
7859,416,3,4.0,89.5,31,210,49.5,137.0,76.71
7871,417,4,5.0,26.25,83,188,19.72,153.0,39.4
7887,418,4,4.86,23.0,54,192,14.27,123.0,52.65
7918,419,4,1.75,29.33,13,101,15.46,58.25,35.98
7922,420,3,3.2,30.25,42,163,29.42,111.2,50.81
7937,421,3,4.67,50.0,66,166,26.0,124.67,42.62
7951,422,7,4.0,32.33,6,200,7.52,106.57,62.09
7970,423,6,4.33,37.8,25,214,20.55,123.67,60.39
7989,424,7,3.24,11.81,13,202,12.92,94.59,65.91
8032,425,6,2.62,28.43,18,217,17.35,122.0,59.82
8052,426,2,4.0,111.0,31,142,0.0,86.5,55.5
8055,427,1,3.0,0.0,5,5,0.0,5.0,0.0
8057,428,4,2.8,40.25,35,196,29.43,120.0,65.61
8071,429,5,2.67,39.0,20,215,32.39,143.33,72.77
8086,430,5,4.22,23.62,22,211,22.62,137.44,58.78
8111,431,6,5.64,18.0,23,203,13.78,124.27,48.97
8144,432,4,2.67,33.8,32,201,20.41,127.67,64.31
8153,433,2,4.0,46.0,143,189,0.0,166.0,23.0
8159,434,3,2.25,31.67,97,192,22.17,156.0,35.9
8168,435,6,3.3,17.0,7,160,8.78,77.2,53.18
8198,436,2,3.5,168.0,8,176,0.0,92.0,84.0
8203,437,4,3.33,39.2,15,211,20.62,112.83,68.26
8221,438,2,8.0,84.0,16,100,0.0,58.0,42.0
8231,439,5,13.25,23.43,17,181,14.68,105.0,55.45
8288,440,4,1.6,22.0,80,168,13.06,126.6,29.73
8296,441,3,3.0,39.5,30,109,33.5,58.33,35.91
8305,442,6,3.36,19.8,2,200,13.82,112.09,68.48
8337,443,4,2.25,53.67,41,202,19.91,110.0,62.2
8346,444,6,4.0,29.5,8,185,20.85,94.57,67.92
8370,445,3,7.25,35.67,10,117,33.48,46.0,41.86
8388,446,3,5.25,42.67,15,143,30.65,97.5,51.99
8406,447,4,2.2,38.25,34,187,19.07,109.6,53.89
8417,448,2,4.5,85.0,104,189,0.0,146.5,42.5
